_previousMonth,_previousYear,Date,Type of dwelling unit,Type of market,_valueConnector,Units
March 2002,April 2001,2002-04-01,Row units,Rental,0,0
April 2002,May 2001,2002-05-01,Row units,Rental,0,0
May 2002,June 2001,2002-06-01,Row units,Rental,0,0
June 2002,July 2001,2002-07-01,Row units,Rental,0,0
July 2002,August 2001,2002-08-01,Row units,Rental,0,0
August 2002,September 2001,2002-09-01,Row units,Rental,0,0
September 2002,October 2001,2002-10-01,Row units,Rental,0,0
November 2002,December 2001,2002-12-01,Row units,Rental,0,0
December 2002,January 2002,2003-01-01,Row units,Rental,0,0
January 2003,February 2002,2003-02-01,Row units,Rental,0,0
February 2003,March 2002,2003-03-01,Row units,Rental,0,0
March 2003,April 2002,2003-04-01,Row units,Rental,0,0
April 2003,May 2002,2003-05-01,Row units,Rental,0,0
May 2003,June 2002,2003-06-01,Row units,Rental,0,0
June 2003,July 2002,2003-07-01,Row units,Rental,0,0
July 2003,August 2002,2003-08-01,Row units,Rental,0,0
September 2003,October 2002,2003-10-01,Row units,Rental,0,0
October 2003,November 2002,2003-11-01,Row units,Rental,0,0
November 2003,December 2002,2003-12-01,Row units,Rental,0,0
December 2003,January 2003,2004-01-01,Row units,Rental,0,0
January 2004,February 2003,2004-02-01,Row units,Rental,0,0
February 2004,March 2003,2004-03-01,Row units,Rental,0,0
March 2004,April 2003,2004-04-01,Row units,Rental,0,0
April 2004,May 2003,2004-05-01,Row units,Rental,0,0
May 2004,June 2003,2004-06-01,Row units,Rental,0,0
June 2004,July 2003,2004-07-01,Row units,Rental,0,0
July 2004,August 2003,2004-08-01,Row units,Rental,0,0
August 2004,September 2003,2004-09-01,Row units,Rental,0,0
September 2004,October 2003,2004-10-01,Row units,Rental,0,0
October 2004,November 2003,2004-11-01,Row units,Rental,0,0
November 2004,December 2003,2004-12-01,Row units,Rental,0,0
December 2004,January 2004,2005-01-01,Row units,Rental,0,0
January 2005,February 2004,2005-02-01,Row units,Rental,0,0
February 2005,March 2004,2005-03-01,Row units,Rental,0,0
March 2005,April 2004,2005-04-01,Row units,Rental,0,0
April 2005,May 2004,2005-05-01,Row units,Rental,0,0
May 2005,June 2004,2005-06-01,Row units,Rental,0,0
June 2005,July 2004,2005-07-01,Row units,Rental,0,0
July 2005,August 2004,2005-08-01,Row units,Rental,0,0
August 2005,September 2004,2005-09-01,Row units,Rental,0,0
September 2005,October 2004,2005-10-01,Row units,Rental,0,0
October 2005,November 2004,2005-11-01,Row units,Rental,0,0
November 2005,December 2004,2005-12-01,Row units,Rental,0,0
December 2005,January 2005,2006-01-01,Row units,Rental,0,0
January 2006,February 2005,2006-02-01,Row units,Rental,0,0
February 2006,March 2005,2006-03-01,Row units,Rental,0,0
March 2006,April 2005,2006-04-01,Row units,Rental,0,0
May 2006,June 2005,2006-06-01,Row units,Rental,0,0
June 2006,July 2005,2006-07-01,Row units,Rental,0,0
August 2006,September 2005,2006-09-01,Row units,Rental,0,0
September 2006,October 2005,2006-10-01,Row units,Rental,0,0
October 2006,November 2005,2006-11-01,Row units,Rental,0,0
November 2006,December 2005,2006-12-01,Row units,Rental,0,0
December 2006,January 2006,2007-01-01,Row units,Rental,0,0
January 2007,February 2006,2007-02-01,Row units,Rental,0,0
February 2007,March 2006,2007-03-01,Row units,Rental,0,0
March 2007,April 2006,2007-04-01,Row units,Rental,0,0
April 2007,May 2006,2007-05-01,Row units,Rental,0,0
May 2007,June 2006,2007-06-01,Row units,Rental,0,0
June 2007,July 2006,2007-07-01,Row units,Rental,0,0
July 2007,August 2006,2007-08-01,Row units,Rental,0,0
August 2007,September 2006,2007-09-01,Row units,Rental,0,0
September 2007,October 2006,2007-10-01,Row units,Rental,0,0
October 2007,November 2006,2007-11-01,Row units,Rental,0,0
November 2007,December 2006,2007-12-01,Row units,Rental,0,0
December 2007,January 2007,2008-01-01,Row units,Rental,0,0
January 2008,February 2007,2008-02-01,Row units,Rental,0,0
March 2008,April 2007,2008-04-01,Row units,Rental,0,0
April 2008,May 2007,2008-05-01,Row units,Rental,0,0
May 2008,June 2007,2008-06-01,Row units,Rental,0,0
June 2008,July 2007,2008-07-01,Row units,Rental,0,0
July 2008,August 2007,2008-08-01,Row units,Rental,0,0
August 2008,September 2007,2008-09-01,Row units,Rental,0,0
October 2008,November 2007,2008-11-01,Row units,Rental,0,0
November 2008,December 2007,2008-12-01,Row units,Rental,0,0
December 2008,January 2008,2009-01-01,Row units,Rental,0,0
January 2009,February 2008,2009-02-01,Row units,Rental,0,0
February 2009,March 2008,2009-03-01,Row units,Rental,0,0
March 2009,April 2008,2009-04-01,Row units,Rental,0,0
April 2009,May 2008,2009-05-01,Row units,Rental,0,0
May 2009,June 2008,2009-06-01,Row units,Rental,0,0
June 2009,July 2008,2009-07-01,Row units,Rental,0,0
July 2009,August 2008,2009-08-01,Row units,Rental,0,0
August 2009,September 2008,2009-09-01,Row units,Rental,0,0
September 2009,October 2008,2009-10-01,Row units,Rental,0,0
October 2009,November 2008,2009-11-01,Row units,Rental,0,0
November 2009,December 2008,2009-12-01,Row units,Rental,0,0
December 2009,January 2009,2010-01-01,Row units,Rental,0,0
January 2010,February 2009,2010-02-01,Row units,Rental,0,0
February 2010,March 2009,2010-03-01,Row units,Rental,0,0
April 2010,May 2009,2010-05-01,Row units,Rental,0,0
May 2010,June 2009,2010-06-01,Row units,Rental,0,0
June 2010,July 2009,2010-07-01,Row units,Rental,0,0
July 2010,August 2009,2010-08-01,Row units,Rental,0,0
August 2010,September 2009,2010-09-01,Row units,Rental,0,0
September 2010,October 2009,2010-10-01,Row units,Rental,0,0
October 2010,November 2009,2010-11-01,Row units,Rental,0,0
November 2010,December 2009,2010-12-01,Row units,Rental,0,0
December 2010,January 2010,2011-01-01,Row units,Rental,0,0
January 2011,February 2010,2011-02-01,Row units,Rental,0,0
February 2011,March 2010,2011-03-01,Row units,Rental,0,0
April 2011,May 2010,2011-05-01,Row units,Rental,0,0
May 2011,June 2010,2011-06-01,Row units,Rental,0,0
June 2011,July 2010,2011-07-01,Row units,Rental,0,0
July 2011,August 2010,2011-08-01,Row units,Rental,0,0
August 2011,September 2010,2011-09-01,Row units,Rental,0,0
September 2011,October 2010,2011-10-01,Row units,Rental,0,0
October 2011,November 2010,2011-11-01,Row units,Rental,0,0
November 2011,December 2010,2011-12-01,Row units,Rental,0,0
December 2011,January 2011,2012-01-01,Row units,Rental,0,0
January 2012,February 2011,2012-02-01,Row units,Rental,0,0
February 2012,March 2011,2012-03-01,Row units,Rental,0,0
March 2012,April 2011,2012-04-01,Row units,Rental,0,0
April 2012,May 2011,2012-05-01,Row units,Rental,0,0
May 2012,June 2011,2012-06-01,Row units,Rental,0,0
June 2012,July 2011,2012-07-01,Row units,Rental,0,0
July 2012,August 2011,2012-08-01,Row units,Rental,0,0
August 2012,September 2011,2012-09-01,Row units,Rental,0,0
September 2012,October 2011,2012-10-01,Row units,Rental,0,0
October 2012,November 2011,2012-11-01,Row units,Rental,0,0
December 2012,January 2012,2013-01-01,Row units,Rental,0,0
January 2013,February 2012,2013-02-01,Row units,Rental,0,0
February 2013,March 2012,2013-03-01,Row units,Rental,0,0
March 2013,April 2012,2013-04-01,Row units,Rental,0,0
April 2013,May 2012,2013-05-01,Row units,Rental,0,0
May 2013,June 2012,2013-06-01,Row units,Rental,0,0
June 2013,July 2012,2013-07-01,Row units,Rental,0,0
July 2013,August 2012,2013-08-01,Row units,Rental,0,0
August 2013,September 2012,2013-09-01,Row units,Rental,0,0
September 2013,October 2012,2013-10-01,Row units,Rental,0,0
November 2013,December 2012,2013-12-01,Row units,Rental,0,0
December 2013,January 2013,2014-01-01,Row units,Rental,0,0
January 2014,February 2013,2014-02-01,Row units,Rental,0,0
March 2014,April 2013,2014-04-01,Row units,Rental,0,0
May 2014,June 2013,2014-06-01,Row units,Rental,0,0
June 2014,July 2013,2014-07-01,Row units,Rental,0,0
July 2014,August 2013,2014-08-01,Row units,Rental,0,0
August 2014,September 2013,2014-09-01,Row units,Rental,0,0
September 2014,October 2013,2014-10-01,Row units,Rental,0,0
October 2014,November 2013,2014-11-01,Row units,Rental,0,0
November 2014,December 2013,2014-12-01,Row units,Rental,0,0
January 2015,February 2014,2015-02-01,Row units,Rental,0,0
February 2015,March 2014,2015-03-01,Row units,Rental,0,0
March 2015,April 2014,2015-04-01,Row units,Rental,0,0
July 2015,August 2014,2015-08-01,Row units,Rental,0,0
August 2015,September 2014,2015-09-01,Row units,Rental,0,0
October 2015,November 2014,2015-11-01,Row units,Rental,0,0
November 2015,December 2014,2015-12-01,Row units,Rental,0,0
December 2015,January 2015,2016-01-01,Row units,Rental,0,0
January 2016,February 2015,2016-02-01,Row units,Rental,0,0
August 2016,September 2015,2016-09-01,Row units,Rental,0,0
September 2016,October 2015,2016-10-01,Row units,Rental,0,0
October 2016,November 2015,2016-11-01,Row units,Rental,0,0
November 2016,December 2015,2016-12-01,Row units,Rental,0,0
January 2017,February 2016,2017-02-01,Row units,Rental,0,0
February 2017,March 2016,2017-03-01,Row units,Rental,0,0
April 2017,May 2016,2017-05-01,Row units,Rental,0,0
May 2017,June 2016,2017-06-01,Row units,Rental,0,0
June 2017,July 2016,2017-07-01,Row units,Rental,0,0
July 2017,August 2016,2017-08-01,Row units,Rental,0,0
August 2017,September 2016,2017-09-01,Row units,Rental,0,0
December 2017,January 2017,2018-01-01,Row units,Rental,0,0
February 2018,March 2017,2018-03-01,Row units,Rental,0,0
March 2018,April 2017,2018-04-01,Row units,Rental,0,0
April 2018,May 2017,2018-05-01,Row units,Rental,0,0
July 2018,August 2017,2018-08-01,Row units,Rental,0,0
October 2018,November 2017,2018-11-01,Row units,Rental,0,0
November 2018,December 2017,2018-12-01,Row units,Rental,0,0
December 2018,January 2018,2019-01-01,Row units,Rental,0,0
January 2019,February 2018,2019-02-01,Row units,Rental,0,0
March 2019,April 2018,2019-04-01,Row units,Rental,0,0
April 2019,May 2018,2019-05-01,Row units,Rental,0,0
May 2019,June 2018,2019-06-01,Row units,Rental,0,0
June 2019,July 2018,2019-07-01,Row units,Rental,0,0
July 2019,August 2018,2019-08-01,Row units,Rental,0,0
August 2019,September 2018,2019-09-01,Row units,Rental,0,0
October 2019,November 2018,2019-11-01,Row units,Rental,0,0
December 2019,January 2019,2020-01-01,Row units,Rental,0,0
January 2020,February 2019,2020-02-01,Row units,Rental,0,0
February 2020,March 2019,2020-03-01,Row units,Rental,0,0
March 2020,April 2019,2020-04-01,Row units,Rental,0,0
April 2020,May 2019,2020-05-01,Row units,Rental,0,0
May 2020,June 2019,2020-06-01,Row units,Rental,0,0
July 2020,August 2019,2020-08-01,Row units,Rental,0,0
December 2020,January 2020,2021-01-01,Row units,Rental,0,0
March 2021,April 2020,2021-04-01,Row units,Rental,0,0
June 2021,July 2020,2021-07-01,Row units,Rental,0,0
July 2021,August 2020,2021-08-01,Row units,Rental,0,0
August 2021,September 2020,2021-09-01,Row units,Rental,0,0
September 2021,October 2020,2021-10-01,Row units,Rental,0,0
October 2021,November 2020,2021-11-01,Row units,Rental,0,0
December 2021,January 2021,2022-01-01,Row units,Rental,0,0
January 2022,February 2021,2022-02-01,Row units,Rental,0,0
February 2008,March 2007,2008-03-01,Row units,Rental,3,3
March 2016,April 2015,2016-04-01,Row units,Rental,3,3
December 2016,January 2016,2017-01-01,Row units,Rental,3,3
October 2017,November 2016,2017-11-01,Row units,Rental,3,3
September 2018,October 2017,2018-10-01,Row units,Rental,3,3
February 2019,March 2018,2019-03-01,Row units,Rental,3,3
June 1989,July 1988,1989-07-01,Row units,Rental,4,4
October 1997,November 1996,1997-11-01,Row units,Rental,4,4
May 1998,June 1997,1998-06-01,Row units,Rental,4,4
October 1998,November 1997,1998-11-01,Row units,Rental,4,4
May 1999,June 1998,1999-06-01,Row units,Rental,4,4
September 2001,October 2000,2001-10-01,Row units,Rental,4,4
October 2002,November 2001,2002-11-01,Row units,Rental,4,4
April 2006,May 2005,2006-05-01,Row units,Rental,4,4
September 2008,October 2007,2008-10-01,Row units,Rental,4,4
March 2010,April 2009,2010-04-01,Row units,Rental,4,4
March 2011,April 2010,2011-04-01,Row units,Rental,4,4
October 2013,November 2012,2013-11-01,Row units,Rental,4,4
February 2014,March 2013,2014-03-01,Row units,Rental,4,4
April 2014,May 2013,2014-05-01,Row units,Rental,4,4
April 2015,May 2014,2015-05-01,Row units,Rental,4,4
May 2015,June 2014,2015-06-01,Row units,Rental,4,4
February 2016,March 2015,2016-03-01,Row units,Rental,4,4
July 2016,August 2015,2016-08-01,Row units,Rental,4,4
March 2017,April 2016,2017-04-01,Row units,Rental,4,4
September 2017,October 2016,2017-10-01,Row units,Rental,4,4
November 2017,December 2016,2017-12-01,Row units,Rental,4,4
January 2018,February 2017,2018-02-01,Row units,Rental,4,4
May 2018,June 2017,2018-06-01,Row units,Rental,4,4
June 2018,July 2017,2018-07-01,Row units,Rental,4,4
September 2019,October 2018,2019-10-01,Row units,Rental,4,4
June 2020,July 2019,2020-07-01,Row units,Rental,4,4
August 2020,September 2019,2020-09-01,Row units,Rental,4,4
October 2020,November 2019,2020-11-01,Row units,Rental,4,4
February 2021,March 2020,2021-03-01,Row units,Rental,4,4
November 2021,December 2020,2021-12-01,Row units,Rental,4,4
November 2012,December 2011,2012-12-01,Row units,Rental,5,5
September 2015,October 2014,2015-10-01,Row units,Rental,5,5
April 2021,May 2020,2021-05-01,Row units,Rental,5,5
May 1988,June 1987,1988-06-01,Row units,Rental,6,6
August 2003,September 2002,2003-09-01,Row units,Rental,6,6
July 2006,August 2005,2006-08-01,Row units,Rental,6,6
May 2021,June 2020,2021-06-01,Row units,Rental,6,6
June 1994,July 1993,1994-07-01,Row units,Rental,7,7
February 2022,March 2021,2022-03-01,Row units,Rental,7,7
June 1991,July 1990,1991-07-01,Row units,Rental,8,8
March 1994,April 1993,1994-04-01,Row units,Rental,8,8
December 2014,January 2014,2015-01-01,Row units,Rental,8,8
June 2015,July 2014,2015-07-01,Row units,Rental,8,8
April 2016,May 2015,2016-05-01,Row units,Rental,8,8
May 2016,June 2015,2016-06-01,Row units,Rental,8,8
June 2016,July 2015,2016-07-01,Row units,Rental,8,8
August 2018,September 2017,2018-09-01,Row units,Rental,8,8
July 1988,August 1987,1988-08-01,Row units,Rental,11,11
September 2020,October 2019,2020-10-01,Row units,Rental,11,11
January 1990,February 1989,1990-02-01,Row units,Rental,12,12
November 2019,December 2018,2019-12-01,Row units,Rental,12,12
August 1993,September 1992,1993-09-01,Row units,Rental,13,13
April 1996,May 1995,1996-05-01,Row units,Rental,16,16
September 1988,October 1987,1988-10-01,Row units,Rental,24,24
October 1988,November 1987,1988-11-01,Row units,Rental,26,26
November 2020,December 2019,2020-12-01,Row units,Rental,28,28
December 1989,January 1989,1990-01-01,Row units,Rental,34,34
January 2021,February 2020,2021-02-01,Row units,Rental,51,51
May 1988,June 1987,1988-06-01,Semi-detached units,Co-op,0,0
June 1988,July 1987,1988-07-01,Semi-detached units,Co-op,0,0
August 1988,September 1987,1988-09-01,Semi-detached units,Co-op,0,0
September 1988,October 1987,1988-10-01,Semi-detached units,Co-op,0,0
October 1988,November 1987,1988-11-01,Semi-detached units,Co-op,0,0
January 1989,February 1988,1989-02-01,Semi-detached units,Co-op,0,0
February 1989,March 1988,1989-03-01,Semi-detached units,Co-op,0,0
March 1989,April 1988,1989-04-01,Semi-detached units,Co-op,0,0
April 1989,May 1988,1989-05-01,Semi-detached units,Co-op,0,0
May 1989,June 1988,1989-06-01,Semi-detached units,Co-op,0,0
June 1989,July 1988,1989-07-01,Semi-detached units,Co-op,0,0
July 1989,August 1988,1989-08-01,Semi-detached units,Co-op,0,0
August 1989,September 1988,1989-09-01,Semi-detached units,Co-op,0,0
September 1989,October 1988,1989-10-01,Semi-detached units,Co-op,0,0
November 1989,December 1988,1989-12-01,Semi-detached units,Co-op,0,0
December 1989,January 1989,1990-01-01,Semi-detached units,Co-op,0,0
January 1990,February 1989,1990-02-01,Semi-detached units,Co-op,0,0
February 1990,March 1989,1990-03-01,Semi-detached units,Co-op,0,0
March 1990,April 1989,1990-04-01,Semi-detached units,Co-op,0,0
April 1990,May 1989,1990-05-01,Semi-detached units,Co-op,0,0
May 1990,June 1989,1990-06-01,Semi-detached units,Co-op,0,0
June 1990,July 1989,1990-07-01,Semi-detached units,Co-op,0,0
July 1990,August 1989,1990-08-01,Semi-detached units,Co-op,0,0
August 1990,September 1989,1990-09-01,Semi-detached units,Co-op,0,0
September 1990,October 1989,1990-10-01,Semi-detached units,Co-op,0,0
October 1990,November 1989,1990-11-01,Semi-detached units,Co-op,0,0
November 1990,December 1989,1990-12-01,Semi-detached units,Co-op,0,0
December 1990,January 1990,1991-01-01,Semi-detached units,Co-op,0,0
January 1991,February 1990,1991-02-01,Semi-detached units,Co-op,0,0
February 1991,March 1990,1991-03-01,Semi-detached units,Co-op,0,0
March 1991,April 1990,1991-04-01,Semi-detached units,Co-op,0,0
April 1991,May 1990,1991-05-01,Semi-detached units,Co-op,0,0
May 1991,June 1990,1991-06-01,Semi-detached units,Co-op,0,0
June 1991,July 1990,1991-07-01,Semi-detached units,Co-op,0,0
July 1991,August 1990,1991-08-01,Semi-detached units,Co-op,0,0
August 1991,September 1990,1991-09-01,Semi-detached units,Co-op,0,0
September 1991,October 1990,1991-10-01,Semi-detached units,Co-op,0,0
October 1991,November 1990,1991-11-01,Semi-detached units,Co-op,0,0
November 1991,December 1990,1991-12-01,Semi-detached units,Co-op,0,0
December 1991,January 1991,1992-01-01,Semi-detached units,Co-op,0,0
January 1992,February 1991,1992-02-01,Semi-detached units,Co-op,0,0
February 1992,March 1991,1992-03-01,Semi-detached units,Co-op,0,0
March 1992,April 1991,1992-04-01,Semi-detached units,Co-op,0,0
April 1992,May 1991,1992-05-01,Semi-detached units,Co-op,0,0
May 1992,June 1991,1992-06-01,Semi-detached units,Co-op,0,0
June 1992,July 1991,1992-07-01,Semi-detached units,Co-op,0,0
July 1992,August 1991,1992-08-01,Semi-detached units,Co-op,0,0
August 1992,September 1991,1992-09-01,Semi-detached units,Co-op,0,0
September 1992,October 1991,1992-10-01,Semi-detached units,Co-op,0,0
October 1992,November 1991,1992-11-01,Semi-detached units,Co-op,0,0
November 1992,December 1991,1992-12-01,Semi-detached units,Co-op,0,0
December 1992,January 1992,1993-01-01,Semi-detached units,Co-op,0,0
January 1993,February 1992,1993-02-01,Semi-detached units,Co-op,0,0
February 1993,March 1992,1993-03-01,Semi-detached units,Co-op,0,0
March 1993,April 1992,1993-04-01,Semi-detached units,Co-op,0,0
April 1993,May 1992,1993-05-01,Semi-detached units,Co-op,0,0
May 1993,June 1992,1993-06-01,Semi-detached units,Co-op,0,0
June 1993,July 1992,1993-07-01,Semi-detached units,Co-op,0,0
July 1993,August 1992,1993-08-01,Semi-detached units,Co-op,0,0
August 1993,September 1992,1993-09-01,Semi-detached units,Co-op,0,0
September 1993,October 1992,1993-10-01,Semi-detached units,Co-op,0,0
October 1993,November 1992,1993-11-01,Semi-detached units,Co-op,0,0
November 1993,December 1992,1993-12-01,Semi-detached units,Co-op,0,0
December 1993,January 1993,1994-01-01,Semi-detached units,Co-op,0,0
January 1994,February 1993,1994-02-01,Semi-detached units,Co-op,0,0
February 1994,March 1993,1994-03-01,Semi-detached units,Co-op,0,0
March 1994,April 1993,1994-04-01,Semi-detached units,Co-op,0,0
April 1994,May 1993,1994-05-01,Semi-detached units,Co-op,0,0
May 1994,June 1993,1994-06-01,Semi-detached units,Co-op,0,0
June 1994,July 1993,1994-07-01,Semi-detached units,Co-op,0,0
July 1994,August 1993,1994-08-01,Semi-detached units,Co-op,0,0
August 1994,September 1993,1994-09-01,Semi-detached units,Co-op,0,0
September 1994,October 1993,1994-10-01,Semi-detached units,Co-op,0,0
October 1994,November 1993,1994-11-01,Semi-detached units,Co-op,0,0
November 1994,December 1993,1994-12-01,Semi-detached units,Co-op,0,0
December 1994,January 1994,1995-01-01,Semi-detached units,Co-op,0,0
January 1995,February 1994,1995-02-01,Semi-detached units,Co-op,0,0
February 1995,March 1994,1995-03-01,Semi-detached units,Co-op,0,0
March 1995,April 1994,1995-04-01,Semi-detached units,Co-op,0,0
April 1995,May 1994,1995-05-01,Semi-detached units,Co-op,0,0
May 1995,June 1994,1995-06-01,Semi-detached units,Co-op,0,0
June 1995,July 1994,1995-07-01,Semi-detached units,Co-op,0,0
July 1995,August 1994,1995-08-01,Semi-detached units,Co-op,0,0
August 1995,September 1994,1995-09-01,Semi-detached units,Co-op,0,0
September 1995,October 1994,1995-10-01,Semi-detached units,Co-op,0,0
October 1995,November 1994,1995-11-01,Semi-detached units,Co-op,0,0
November 1995,December 1994,1995-12-01,Semi-detached units,Co-op,0,0
December 1995,January 1995,1996-01-01,Semi-detached units,Co-op,0,0
January 1996,February 1995,1996-02-01,Semi-detached units,Co-op,0,0
February 1996,March 1995,1996-03-01,Semi-detached units,Co-op,0,0
March 1996,April 1995,1996-04-01,Semi-detached units,Co-op,0,0
April 1996,May 1995,1996-05-01,Semi-detached units,Co-op,0,0
May 1996,June 1995,1996-06-01,Semi-detached units,Co-op,0,0
June 1996,July 1995,1996-07-01,Semi-detached units,Co-op,0,0
July 1996,August 1995,1996-08-01,Semi-detached units,Co-op,0,0
August 1996,September 1995,1996-09-01,Semi-detached units,Co-op,0,0
September 1996,October 1995,1996-10-01,Semi-detached units,Co-op,0,0
October 1996,November 1995,1996-11-01,Semi-detached units,Co-op,0,0
November 1996,December 1995,1996-12-01,Semi-detached units,Co-op,0,0
December 1996,January 1996,1997-01-01,Semi-detached units,Co-op,0,0
January 1997,February 1996,1997-02-01,Semi-detached units,Co-op,0,0
February 1997,March 1996,1997-03-01,Semi-detached units,Co-op,0,0
March 1997,April 1996,1997-04-01,Semi-detached units,Co-op,0,0
April 1997,May 1996,1997-05-01,Semi-detached units,Co-op,0,0
May 1997,June 1996,1997-06-01,Semi-detached units,Co-op,0,0
June 1997,July 1996,1997-07-01,Semi-detached units,Co-op,0,0
July 1997,August 1996,1997-08-01,Semi-detached units,Co-op,0,0
August 1997,September 1996,1997-09-01,Semi-detached units,Co-op,0,0
September 1997,October 1996,1997-10-01,Semi-detached units,Co-op,0,0
October 1997,November 1996,1997-11-01,Semi-detached units,Co-op,0,0
November 1997,December 1996,1997-12-01,Semi-detached units,Co-op,0,0
December 1997,January 1997,1998-01-01,Semi-detached units,Co-op,0,0
January 1998,February 1997,1998-02-01,Semi-detached units,Co-op,0,0
February 1998,March 1997,1998-03-01,Semi-detached units,Co-op,0,0
March 1998,April 1997,1998-04-01,Semi-detached units,Co-op,0,0
April 1998,May 1997,1998-05-01,Semi-detached units,Co-op,0,0
May 1998,June 1997,1998-06-01,Semi-detached units,Co-op,0,0
June 1998,July 1997,1998-07-01,Semi-detached units,Co-op,0,0
July 1998,August 1997,1998-08-01,Semi-detached units,Co-op,0,0
August 1998,September 1997,1998-09-01,Semi-detached units,Co-op,0,0
September 1998,October 1997,1998-10-01,Semi-detached units,Co-op,0,0
October 1998,November 1997,1998-11-01,Semi-detached units,Co-op,0,0
November 1998,December 1997,1998-12-01,Semi-detached units,Co-op,0,0
December 1998,January 1998,1999-01-01,Semi-detached units,Co-op,0,0
January 1999,February 1998,1999-02-01,Semi-detached units,Co-op,0,0
February 1999,March 1998,1999-03-01,Semi-detached units,Co-op,0,0
March 1999,April 1998,1999-04-01,Semi-detached units,Co-op,0,0
April 1999,May 1998,1999-05-01,Semi-detached units,Co-op,0,0
May 1999,June 1998,1999-06-01,Semi-detached units,Co-op,0,0
June 1999,July 1998,1999-07-01,Semi-detached units,Co-op,0,0
July 1999,August 1998,1999-08-01,Semi-detached units,Co-op,0,0
August 1999,September 1998,1999-09-01,Semi-detached units,Co-op,0,0
September 1999,October 1998,1999-10-01,Semi-detached units,Co-op,0,0
October 1999,November 1998,1999-11-01,Semi-detached units,Co-op,0,0
November 1999,December 1998,1999-12-01,Semi-detached units,Co-op,0,0
December 1999,January 1999,2000-01-01,Semi-detached units,Co-op,0,0
January 2000,February 1999,2000-02-01,Semi-detached units,Co-op,0,0
February 2000,March 1999,2000-03-01,Semi-detached units,Co-op,0,0
March 2000,April 1999,2000-04-01,Semi-detached units,Co-op,0,0
April 2000,May 1999,2000-05-01,Semi-detached units,Co-op,0,0
May 2000,June 1999,2000-06-01,Semi-detached units,Co-op,0,0
June 2000,July 1999,2000-07-01,Semi-detached units,Co-op,0,0
July 2000,August 1999,2000-08-01,Semi-detached units,Co-op,0,0
August 2000,September 1999,2000-09-01,Semi-detached units,Co-op,0,0
September 2000,October 1999,2000-10-01,Semi-detached units,Co-op,0,0
October 2000,November 1999,2000-11-01,Semi-detached units,Co-op,0,0
November 2000,December 1999,2000-12-01,Semi-detached units,Co-op,0,0
December 2000,January 2000,2001-01-01,Semi-detached units,Co-op,0,0
January 2001,February 2000,2001-02-01,Semi-detached units,Co-op,0,0
February 2001,March 2000,2001-03-01,Semi-detached units,Co-op,0,0
March 2001,April 2000,2001-04-01,Semi-detached units,Co-op,0,0
April 2001,May 2000,2001-05-01,Semi-detached units,Co-op,0,0
May 2001,June 2000,2001-06-01,Semi-detached units,Co-op,0,0
June 2001,July 2000,2001-07-01,Semi-detached units,Co-op,0,0
July 2001,August 2000,2001-08-01,Semi-detached units,Co-op,0,0
August 2001,September 2000,2001-09-01,Semi-detached units,Co-op,0,0
September 2001,October 2000,2001-10-01,Semi-detached units,Co-op,0,0
October 2001,November 2000,2001-11-01,Semi-detached units,Co-op,0,0
November 2001,December 2000,2001-12-01,Semi-detached units,Co-op,0,0
December 2001,January 2001,2002-01-01,Semi-detached units,Co-op,0,0
January 2002,February 2001,2002-02-01,Semi-detached units,Co-op,0,0
February 2002,March 2001,2002-03-01,Semi-detached units,Co-op,0,0
March 2002,April 2001,2002-04-01,Semi-detached units,Co-op,0,0
April 2002,May 2001,2002-05-01,Semi-detached units,Co-op,0,0
May 2002,June 2001,2002-06-01,Semi-detached units,Co-op,0,0
June 2002,July 2001,2002-07-01,Semi-detached units,Co-op,0,0
July 2002,August 2001,2002-08-01,Semi-detached units,Co-op,0,0
August 2002,September 2001,2002-09-01,Semi-detached units,Co-op,0,0
September 2002,October 2001,2002-10-01,Semi-detached units,Co-op,0,0
October 2002,November 2001,2002-11-01,Semi-detached units,Co-op,0,0
November 2002,December 2001,2002-12-01,Semi-detached units,Co-op,0,0
December 2002,January 2002,2003-01-01,Semi-detached units,Co-op,0,0
January 2003,February 2002,2003-02-01,Semi-detached units,Co-op,0,0
February 2003,March 2002,2003-03-01,Semi-detached units,Co-op,0,0
March 2003,April 2002,2003-04-01,Semi-detached units,Co-op,0,0
April 2003,May 2002,2003-05-01,Semi-detached units,Co-op,0,0
May 2003,June 2002,2003-06-01,Semi-detached units,Co-op,0,0
June 2003,July 2002,2003-07-01,Semi-detached units,Co-op,0,0
July 2003,August 2002,2003-08-01,Semi-detached units,Co-op,0,0
August 2003,September 2002,2003-09-01,Semi-detached units,Co-op,0,0
September 2003,October 2002,2003-10-01,Semi-detached units,Co-op,0,0
October 2003,November 2002,2003-11-01,Semi-detached units,Co-op,0,0
November 2003,December 2002,2003-12-01,Semi-detached units,Co-op,0,0
December 2003,January 2003,2004-01-01,Semi-detached units,Co-op,0,0
January 2004,February 2003,2004-02-01,Semi-detached units,Co-op,0,0
February 2004,March 2003,2004-03-01,Semi-detached units,Co-op,0,0
March 2004,April 2003,2004-04-01,Semi-detached units,Co-op,0,0
April 2004,May 2003,2004-05-01,Semi-detached units,Co-op,0,0
May 2004,June 2003,2004-06-01,Semi-detached units,Co-op,0,0
June 2004,July 2003,2004-07-01,Semi-detached units,Co-op,0,0
July 2004,August 2003,2004-08-01,Semi-detached units,Co-op,0,0
